Index,Epoch, Hidden Neurons, Learning Rate, Loss Function, Data Encoding, Batch Size, Weights Init,Hidden Activation Function, Last Activation Function, Accuracy, Time
61,10,100,0.1,quadratic,one_hot,256,random,ReLu,Sigmoid,0.1552,8.493235111236572
62,10,50,0.1,quadratic,one_hot,256,random,ReLu,Sigmoid,0.0912,7.118155956268311
63,20,100,0.1,quadratic,one_hot,256,random,ReLu,Sigmoid,0.2669,16.41381311416626
64,20,50,0.1,quadratic,one_hot,256,random,ReLu,Sigmoid,0.2264,12.801353931427002
65,10,100,0.1,quadratic,one_hot,256,0,Sigmoid,Sigmoid,0.1135,9.715005159378052
66,10,50,0.1,quadratic,one_hot,256,0,Sigmoid,Sigmoid,0.1135,7.101340770721436
67,20,100,0.1,quadratic,one_hot,256,0,Sigmoid,Sigmoid,0.1135,19.65262007713318
68,20,50,0.1,quadratic,one_hot,256,0,Sigmoid,Sigmoid,0.1135,24.211207151412964
69,10,100,0.1,quadratic,one_hot,256,0,ReLu,Sigmoid,0.1135,14.478219032287598
70,10,50,0.1,quadratic,one_hot,256,0,ReLu,Sigmoid,0.1135,10.012128114700316
71,20,100,0.1,quadratic,one_hot,256,0,ReLu,Sigmoid,0.1135,25.00167489051819
72,20,50,0.1,quadratic,one_hot,256,0,ReLu,Sigmoid,0.1135,20.690443992614743
73,10,100,0.1,quadratic,binary,256,Xavier,Sigmoid,Sigmoid,0.8641,11.014814138412476
74,10,50,0.1,quadratic,binary,256,Xavier,Sigmoid,Sigmoid,0.856,8.863460779190063
75,20,100,0.1,quadratic,binary,256,Xavier,Sigmoid,Sigmoid,0.891,23.05936574935913
76,20,50,0.1,quadratic,binary,256,Xavier,Sigmoid,Sigmoid,0.8895,15.848812103271484
77,10,100,0.1,quadratic,binary,256,Xavier,ReLu,Sigmoid,0.9175,8.42432689666748
78,10,50,0.1,quadratic,binary,256,Xavier,ReLu,Sigmoid,0.9174,7.1940531730651855
79,20,100,0.1,quadratic,binary,256,Xavier,ReLu,Sigmoid,0.9365,17.287372827529907
80,20,50,0.1,quadratic,binary,256,Xavier,ReLu,Sigmoid,0.9328,14.529223918914797
81,10,100,0.1,quadratic,binary,256,random,Sigmoid,Sigmoid,0.4241,11.437173843383787
82,10,50,0.1,quadratic,binary,256,random,Sigmoid,Sigmoid,0.2794,10.472961187362673
83,20,100,0.1,quadratic,binary,256,random,Sigmoid,Sigmoid,0.0993,22.79895710945129
84,20,50,0.1,quadratic,binary,256,random,Sigmoid,Sigmoid,0.4399,15.782768964767456
85,10,100,0.1,quadratic,binary,256,random,ReLu,Sigmoid,0.2936,9.229229927062988
86,10,50,0.1,quadratic,binary,256,random,ReLu,Sigmoid,0.1923,6.692456960678101
87,20,100,0.1,quadratic,binary,256,random,ReLu,Sigmoid,0.3195,19.251314878463745
88,20,50,0.1,quadratic,binary,256,random,ReLu,Sigmoid,0.4322,16.57386016845703
89,10,100,0.1,quadratic,binary,256,0,Sigmoid,Sigmoid,0.1135,127.18745994567873
90,10,50,0.1,quadratic,binary,256,0,Sigmoid,Sigmoid,0.1135,7.908957004547119
91,20,100,0.1,quadratic,binary,256,0,Sigmoid,Sigmoid,0.1135,20.549896955490112
92,20,50,0.1,quadratic,binary,256,0,Sigmoid,Sigmoid,0.1135,13.782251834869385
93,10,100,0.1,quadratic,binary,256,0,ReLu,Sigmoid,0.1135,8.283003807067871
94,10,50,0.1,quadratic,binary,256,0,ReLu,Sigmoid,0.1135,6.36076807975769
95,20,100,0.1,quadratic,binary,256,0,ReLu,Sigmoid,0.1135,16.359413146972656
96,20,50,0.1,quadratic,binary,256,0,ReLu,Sigmoid,0.1135,12.219093799591064
97,10,100,0.2,cross-entropy,one_hot,256,Xavier,Sigmoid,Sigmoid,0.9313,10.839117050170898
98,10,50,0.2,cross-entropy,one_hot,256,Xavier,Sigmoid,Sigmoid,0.9322,7.9272730350494385
99,20,100,0.2,cross-entropy,one_hot,256,Xavier,Sigmoid,Sigmoid,0.9495,20.83104515075684
100,20,50,0.2,cross-entropy,one_hot,256,Xavier,Sigmoid,Sigmoid,0.9476,15.365065097808838
101,10,100,0.2,cross-entropy,one_hot,256,Xavier,ReLu,Sigmoid,0.9682,9.142489194869995
102,10,50,0.2,cross-entropy,one_hot,256,Xavier,ReLu,Sigmoid,0.9608,7.607508897781372
103,20,100,0.2,cross-entropy,one_hot,256,Xavier,ReLu,Sigmoid,0.9734,18.90389108657837
104,20,50,0.2,cross-entropy,one_hot,256,Xavier,ReLu,Sigmoid,0.9689,12.307541608810425
105,10,100,0.2,cross-entropy,one_hot,256,random,Sigmoid,Sigmoid,0.8942,10.107238054275513
106,10,50,0.2,cross-entropy,one_hot,256,random,Sigmoid,Sigmoid,0.8786,7.285077095031738
107,20,100,0.2,cross-entropy,one_hot,256,random,Sigmoid,Sigmoid,0.9165,20.597637176513672
108,20,50,0.2,cross-entropy,one_hot,256,random,Sigmoid,Sigmoid,0.9056,14.712883949279783
109,10,100,0.2,cross-entropy,one_hot,256,random,ReLu,Sigmoid,0.9135,8.06783413887024
110,10,50,0.2,cross-entropy,one_hot,256,random,ReLu,Sigmoid,0.888,6.445921897888184
111,20,100,0.2,cross-entropy,one_hot,256,random,ReLu,Sigmoid,0.9317,16.085075855255127
112,20,50,0.2,cross-entropy,one_hot,256,random,ReLu,Sigmoid,0.9196,12.793779850006104
113,10,100,0.2,cross-entropy,one_hot,256,0,Sigmoid,Sigmoid,0.3285,9.50049901008606
114,10,50,0.2,cross-entropy,one_hot,256,0,Sigmoid,Sigmoid,0.3332,7.067997217178345
