Number,Epoch, Hidden Neurons, Learning Rate, Loss Function, Data Encoding, Batch Size, Weights Init,Hidden Activation Function, Last Activation Function, Accuracy, Time
248, 10, 100, 0.1,quadratic,one_hot,60000,random,Sigmoid,Sigmoid,0.104,9.858137130737305
249, 10, 50, 0.1,quadratic,one_hot,60000,random,Sigmoid,Sigmoid,0.0864,6.879743814468384
250, 20, 100, 0.1,quadratic,one_hot,60000,random,Sigmoid,Sigmoid,0.0997,19.000191926956177
251, 20, 50, 0.1,quadratic,one_hot,60000,random,Sigmoid,Sigmoid,0.1069,14.358276844024658
252, 10, 100, 0.1,quadratic,one_hot,60000,random,ReLu,Sigmoid,0.0874,7.558394193649292
253, 10, 50, 0.1,quadratic,one_hot,60000,random,ReLu,Sigmoid,0.0942,5.968276023864746
254, 20, 100, 0.1,quadratic,one_hot,60000,random,ReLu,Sigmoid,0.1258,15.014219045639038
255, 20, 50, 0.1,quadratic,one_hot,60000,random,ReLu,Sigmoid,0.1097,11.82520866394043
256, 10, 100, 0.1,quadratic,one_hot,60000,0,Sigmoid,Sigmoid,0.1135,9.07484483718872
257, 10, 50, 0.1,quadratic,one_hot,60000,0,Sigmoid,Sigmoid,0.1135,7.677484750747681
258, 20, 100, 0.1,quadratic,one_hot,60000,0,Sigmoid,Sigmoid,0.1135,17.626922130584717
259, 20, 50, 0.1,quadratic,one_hot,60000,0,Sigmoid,Sigmoid,0.1135,12.526014804840088
260, 10, 100, 0.1,quadratic,one_hot,60000,0,ReLu,Sigmoid,0.1135,7.535514831542969
261, 10, 50, 0.1,quadratic,one_hot,60000,0,ReLu,Sigmoid,0.1135,5.848965883255005
262, 20, 100, 0.1,quadratic,one_hot,60000,0,ReLu,Sigmoid,0.1135,15.327309131622314
263, 20, 50, 0.1,quadratic,one_hot,60000,0,ReLu,Sigmoid,0.1135,11.606932878494263
264, 10, 100, 0.1,quadratic,binary,60000,Xavier,Sigmoid,Sigmoid,0.0983,9.769838094711304
265, 10, 50, 0.1,quadratic,binary,60000,Xavier,Sigmoid,Sigmoid,0.1207,7.350172996520996
266, 20, 100, 0.1,quadratic,binary,60000,Xavier,Sigmoid,Sigmoid,0.2563,19.108121871948242
267, 20, 50, 0.1,quadratic,binary,60000,Xavier,Sigmoid,Sigmoid,0.1459,13.36191201210022
268, 10, 100, 0.1,quadratic,binary,60000,Xavier,ReLu,Sigmoid,0.2776,8.266804933547974
269, 10, 50, 0.1,quadratic,binary,60000,Xavier,ReLu,Sigmoid,0.1695,6.566853761672974
270, 20, 100, 0.1,quadratic,binary,60000,Xavier,ReLu,Sigmoid,0.272,15.73097014427185
271, 20, 50, 0.1,quadratic,binary,60000,Xavier,ReLu,Sigmoid,0.3105,13.930824041366577
272, 10, 100, 0.1,quadratic,binary,60000,random,Sigmoid,Sigmoid,0.1508,11.898084163665771
273, 10, 50, 0.1,quadratic,binary,60000,random,Sigmoid,Sigmoid,0.0958,8.840381860733032
274, 20, 100, 0.1,quadratic,binary,60000,random,Sigmoid,Sigmoid,0.1459,26.722893953323364
275, 20, 50, 0.1,quadratic,binary,60000,random,Sigmoid,Sigmoid,0.1057,17.368746042251587
276, 10, 100, 0.1,quadratic,binary,60000,random,ReLu,Sigmoid,0.1152,9.666226148605347
277, 10, 50, 0.1,quadratic,binary,60000,random,ReLu,Sigmoid,0.1245,7.524930715560913
278, 20, 100, 0.1,quadratic,binary,60000,random,ReLu,Sigmoid,0.0946,19.77889394760132
279, 20, 50, 0.1,quadratic,binary,60000,random,ReLu,Sigmoid,0.139,11.618606805801392
280, 10, 100, 0.1,quadratic,binary,60000,0,Sigmoid,Sigmoid,0.1135,9.688306093215942
281, 10, 50, 0.1,quadratic,binary,60000,0,Sigmoid,Sigmoid,0.1135,6.786575078964233
282, 20, 100, 0.1,quadratic,binary,60000,0,Sigmoid,Sigmoid,0.1135,18.37481999397278
283, 20, 50, 0.1,quadratic,binary,60000,0,Sigmoid,Sigmoid,0.1135,13.216175079345703
284, 10, 100, 0.1,quadratic,binary,60000,0,ReLu,Sigmoid,0.1135,7.78091025352478
285, 10, 50, 0.1,quadratic,binary,60000,0,ReLu,Sigmoid,0.1135,6.125396966934204
286, 20, 100, 0.1,quadratic,binary,60000,0,ReLu,Sigmoid,0.1135,15.147322177886963
287, 20, 50, 0.1,quadratic,binary,60000,0,ReLu,Sigmoid,0.1135,11.54889702796936
288, 10, 100, 0.2,cross-entropy,one_hot,60000,Xavier,Sigmoid,Sigmoid,0.5452,9.723427057266235
289, 10, 50, 0.2,cross-entropy,one_hot,60000,Xavier,Sigmoid,Sigmoid,0.5094,6.933948755264282
290, 20, 100, 0.2,cross-entropy,one_hot,60000,Xavier,Sigmoid,Sigmoid,0.6744,19.308423042297363
291, 20, 50, 0.2,cross-entropy,one_hot,60000,Xavier,Sigmoid,Sigmoid,0.6454,13.885069847106934
292, 10, 100, 0.2,cross-entropy,one_hot,60000,Xavier,ReLu,Sigmoid,0.7455,7.785076856613159
293, 10, 50, 0.2,cross-entropy,one_hot,60000,Xavier,ReLu,Sigmoid,0.7644,6.233296155929565
294, 20, 100, 0.2,cross-entropy,one_hot,60000,Xavier,ReLu,Sigmoid,0.8215,15.169647932052612
295, 20, 50, 0.2,cross-entropy,one_hot,60000,Xavier,ReLu,Sigmoid,0.8182,11.810002088546753
296, 10, 100, 0.2,cross-entropy,one_hot,60000,random,Sigmoid,Sigmoid,0.1774,9.863208055496216
297, 10, 50, 0.2,cross-entropy,one_hot,60000,random,Sigmoid,Sigmoid,0.136,7.022028923034668
298, 20, 100, 0.2,cross-entropy,one_hot,60000,random,Sigmoid,Sigmoid,0.1822,19.750960111618042
299, 20, 50, 0.2,cross-entropy,one_hot,60000,random,Sigmoid,Sigmoid,0.2058,14.915504932403564
300, 10, 100, 0.2,cross-entropy,one_hot,60000,random,ReLu,Sigmoid,0.5752,8.630800008773804
301, 10, 50, 0.2,cross-entropy,one_hot,60000,random,ReLu,Sigmoid,0.4347,6.531813144683838
302, 20, 100, 0.2,cross-entropy,one_hot,60000,random,ReLu,Sigmoid,0.6826,15.23362398147583
303, 20, 50, 0.2,cross-entropy,one_hot,60000,random,ReLu,Sigmoid,0.6334,11.899422883987427
304, 10, 100, 0.2,cross-entropy,one_hot,60000,0,Sigmoid,Sigmoid,0.1135,9.294370889663696
305, 10, 50, 0.2,cross-entropy,one_hot,60000,0,Sigmoid,Sigmoid,0.1135,7.266175985336304
306, 20, 100, 0.2,cross-entropy,one_hot,60000,0,Sigmoid,Sigmoid,0.1135,18.488284826278687
307, 20, 50, 0.2,cross-entropy,one_hot,60000,0,Sigmoid,Sigmoid,0.1135,13.166770935058594
308, 10, 100, 0.2,cross-entropy,one_hot,60000,0,ReLu,Sigmoid,0.1135,7.782310247421265
309, 10, 50, 0.2,cross-entropy,one_hot,60000,0,ReLu,Sigmoid,0.1135,6.054038047790527
310, 20, 100, 0.2,cross-entropy,one_hot,60000,0,ReLu,Sigmoid,0.1135,15.269901990890503
311, 20, 50, 0.2,cross-entropy,one_hot,60000,0,ReLu,Sigmoid,0.1135,11.669233083724976
312, 10, 100, 0.2,cross-entropy,binary,60000,Xavier,Sigmoid,Sigmoid,0.534,9.649615287780762
313, 10, 50, 0.2,cross-entropy,binary,60000,Xavier,Sigmoid,Sigmoid,0.4515,7.105714321136475
314, 20, 100, 0.2,cross-entropy,binary,60000,Xavier,Sigmoid,Sigmoid,0.6757,19.658966064453125
315, 20, 50, 0.2,cross-entropy,binary,60000,Xavier,Sigmoid,Sigmoid,0.6566,13.723872900009155
316, 10, 100, 0.2,cross-entropy,binary,60000,Xavier,ReLu,Sigmoid,0.704,7.9960291385650635
317, 10, 50, 0.2,cross-entropy,binary,60000,Xavier,ReLu,Sigmoid,0.7282,6.086292266845703
318, 20, 100, 0.2,cross-entropy,binary,60000,Xavier,ReLu,Sigmoid,0.8314,16.77860403060913
319, 20, 50, 0.2,cross-entropy,binary,60000,Xavier,ReLu,Sigmoid,0.8285,12.625558137893677
320, 10, 100, 0.2,cross-entropy,binary,60000,random,Sigmoid,Sigmoid,0.1467,10.082696914672852
321, 10, 50, 0.2,cross-entropy,binary,60000,random,Sigmoid,Sigmoid,0.1596,7.583915948867798
322, 20, 100, 0.2,cross-entropy,binary,60000,random,Sigmoid,Sigmoid,0.2135,20.52269983291626
323, 20, 50, 0.2,cross-entropy,binary,60000,random,Sigmoid,Sigmoid,0.1572,14.568779945373535
324, 10, 100, 0.2,cross-entropy,binary,60000,random,ReLu,Sigmoid,0.5981,8.203307867050171
325, 10, 50, 0.2,cross-entropy,binary,60000,random,ReLu,Sigmoid,0.4828,6.435201168060303
326, 20, 100, 0.2,cross-entropy,binary,60000,random,ReLu,Sigmoid,0.7096,19.911662101745605
327, 20, 50, 0.2,cross-entropy,binary,60000,random,ReLu,Sigmoid,0.5871,14.58818006515503
328, 10, 100, 0.2,cross-entropy,binary,60000,0,Sigmoid,Sigmoid,0.1135,10.689449071884155
329, 10, 50, 0.2,cross-entropy,binary,60000,0,Sigmoid,Sigmoid,0.1135,8.086754083633423
330, 20, 100, 0.2,cross-entropy,binary,60000,0,Sigmoid,Sigmoid,0.1135,20.497644901275635
331, 20, 50, 0.2,cross-entropy,binary,60000,0,Sigmoid,Sigmoid,0.1135,15.14193081855774
332, 10, 100, 0.2,cross-entropy,binary,60000,0,ReLu,Sigmoid,0.1135,8.525696039199829
333, 10, 50, 0.2,cross-entropy,binary,60000,0,ReLu,Sigmoid,0.1135,7.426925897598267
334, 20, 100, 0.2,cross-entropy,binary,60000,0,ReLu,Sigmoid,0.1135,17.40313696861267
335, 20, 50, 0.2,cross-entropy,binary,60000,0,ReLu,Sigmoid,0.1135,15.00018310546875
336, 10, 100, 0.2,quadratic,one_hot,60000,Xavier,Sigmoid,Sigmoid,0.1573,10.443714141845703
337, 10, 50, 0.2,quadratic,one_hot,60000,Xavier,Sigmoid,Sigmoid,0.1787,7.713180065155029
338, 20, 100, 0.2,quadratic,one_hot,60000,Xavier,Sigmoid,Sigmoid,0.3172,21.519212007522583
339, 20, 50, 0.2,quadratic,one_hot,60000,Xavier,Sigmoid,Sigmoid,0.2426,14.47196888923645
340, 10, 100, 0.2,quadratic,one_hot,60000,Xavier,ReLu,Sigmoid,0.3109,8.513685941696167
341, 10, 50, 0.2,quadratic,one_hot,60000,Xavier,ReLu,Sigmoid,0.3413,6.573642015457153
342, 20, 100, 0.2,quadratic,one_hot,60000,Xavier,ReLu,Sigmoid,0.4929,15.474603176116943
343, 20, 50, 0.2,quadratic,one_hot,60000,Xavier,ReLu,Sigmoid,0.363,12.492618083953857
344, 10, 100, 0.2,quadratic,one_hot,60000,random,Sigmoid,Sigmoid,0.0861,9.879634380340576
345, 10, 50, 0.2,quadratic,one_hot,60000,random,Sigmoid,Sigmoid,0.1401,7.160024881362915
346, 20, 100, 0.2,quadratic,one_hot,60000,random,Sigmoid,Sigmoid,0.0785,20.71264386177063
347, 20, 50, 0.2,quadratic,one_hot,60000,random,Sigmoid,Sigmoid,0.1119,17.663859128952026
348, 10, 100, 0.2,quadratic,one_hot,60000,random,ReLu,Sigmoid,0.056,9.12294602394104
349, 10, 50, 0.2,quadratic,one_hot,60000,random,ReLu,Sigmoid,0.1078,8.92974305152893
350, 20, 100, 0.2,quadratic,one_hot,60000,random,ReLu,Sigmoid,0.0947,18.277672290802002
351, 20, 50, 0.2,quadratic,one_hot,60000,random,ReLu,Sigmoid,0.1207,17.247503757476807
352, 10, 100, 0.2,quadratic,one_hot,60000,0,Sigmoid,Sigmoid,0.1135,10.142765045166016
353, 10, 50, 0.2,quadratic,one_hot,60000,0,Sigmoid,Sigmoid,0.1135,7.8044469356536865
354, 20, 100, 0.2,quadratic,one_hot,60000,0,Sigmoid,Sigmoid,0.1135,21.768477201461792
355, 20, 50, 0.2,quadratic,one_hot,60000,0,Sigmoid,Sigmoid,0.1135,14.139493942260742
356, 10, 100, 0.2,quadratic,one_hot,60000,0,ReLu,Sigmoid,0.1135,9.818706035614014
357, 10, 50, 0.2,quadratic,one_hot,60000,0,ReLu,Sigmoid,0.1135,7.843616008758545
358, 20, 100, 0.2,quadratic,one_hot,60000,0,ReLu,Sigmoid,0.1135,16.9835467338562
359, 20, 50, 0.2,quadratic,one_hot,60000,0,ReLu,Sigmoid,0.1135,13.765674114227295
360, 10, 100, 0.2,quadratic,binary,60000,Xavier,Sigmoid,Sigmoid,0.1852,10.263197183609009
361, 10, 50, 0.2,quadratic,binary,60000,Xavier,Sigmoid,Sigmoid,0.1864,7.149865388870239
362, 20, 100, 0.2,quadratic,binary,60000,Xavier,Sigmoid,Sigmoid,0.307,19.940340042114258
363, 20, 50, 0.2,quadratic,binary,60000,Xavier,Sigmoid,Sigmoid,0.2017,15.856792211532593
364, 10, 100, 0.2,quadratic,binary,60000,Xavier,ReLu,Sigmoid,0.3894,8.053613185882568
365, 10, 50, 0.2,quadratic,binary,60000,Xavier,ReLu,Sigmoid,0.2617,6.247948884963989
366, 20, 100, 0.2,quadratic,binary,60000,Xavier,ReLu,Sigmoid,0.3651,15.703808069229126
367, 20, 50, 0.2,quadratic,binary,60000,Xavier,ReLu,Sigmoid,0.4253,12.28671407699585
368, 10, 100, 0.2,quadratic,binary,60000,random,Sigmoid,Sigmoid,0.0957,10.347687005996704
369, 10, 50, 0.2,quadratic,binary,60000,random,Sigmoid,Sigmoid,0.1,7.574645042419434
370, 20, 100, 0.2,quadratic,binary,60000,random,Sigmoid,Sigmoid,0.0967,19.865018129348755
371, 20, 50, 0.2,quadratic,binary,60000,random,Sigmoid,Sigmoid,0.0623,14.054772138595581
372, 10, 100, 0.2,quadratic,binary,60000,random,ReLu,Sigmoid,0.0572,8.198566913604736
373, 10, 50, 0.2,quadratic,binary,60000,random,ReLu,Sigmoid,0.0876,7.060133218765259
374, 20, 100, 0.2,quadratic,binary,60000,random,ReLu,Sigmoid,0.0806,15.796983003616333
375, 20, 50, 0.2,quadratic,binary,60000,random,ReLu,Sigmoid,0.2052,13.200834035873413
376, 10, 100, 0.2,quadratic,binary,60000,0,Sigmoid,Sigmoid,0.1135,10.458691120147705
377, 10, 50, 0.2,quadratic,binary,60000,0,Sigmoid,Sigmoid,0.1135,6.990648031234741
378, 20, 100, 0.2,quadratic,binary,60000,0,Sigmoid,Sigmoid,0.1135,19.67906880378723
379, 20, 50, 0.2,quadratic,binary,60000,0,Sigmoid,Sigmoid,0.1135,13.675756216049194
380, 10, 100, 0.2,quadratic,binary,60000,0,ReLu,Sigmoid,0.1135,10.43376898765564
381, 10, 50, 0.2,quadratic,binary,60000,0,ReLu,Sigmoid,0.1135,8.18704891204834
382, 20, 100, 0.2,quadratic,binary,60000,0,ReLu,Sigmoid,0.1135,17.481191158294678
383, 20, 50, 0.2,quadratic,binary,60000,0,ReLu,Sigmoid,0.1135,14.93765664100647
384, 10, 100, 0.1,cross-entropy,one_hot,32,Xavier,Sigmoid,Sigmoid,0.9621,32.917274951934814
385, 10, 50, 0.1,cross-entropy,one_hot,32,Xavier,Sigmoid,Sigmoid,0.9577,21.970744132995605
386, 20, 100, 0.1,cross-entropy,one_hot,32,Xavier,Sigmoid,Sigmoid,0.9716,79.07740020751953
387, 20, 50, 0.1,cross-entropy,one_hot,32,Xavier,Sigmoid,Sigmoid,0.9658,59.481563091278076
388, 10, 100, 0.1,cross-entropy,one_hot,32,Xavier,ReLu,Sigmoid,0.9767,44.2289559841156
389, 10, 50, 0.1,cross-entropy,one_hot,32,Xavier,ReLu,Sigmoid,0.9716,15.046511173248291
390, 20, 100, 0.1,cross-entropy,one_hot,32,Xavier,ReLu,Sigmoid,0.9803,43.73753595352173
391, 20, 50, 0.1,cross-entropy,one_hot,32,Xavier,ReLu,Sigmoid,0.9753,40.01901388168335
392, 10, 100, 0.1,cross-entropy,one_hot,32,random,Sigmoid,Sigmoid,0.9335,27.981467962265015
393, 10, 50, 0.1,cross-entropy,one_hot,32,random,Sigmoid,Sigmoid,0.9258,21.127067804336548
394, 20, 100, 0.1,cross-entropy,one_hot,32,random,Sigmoid,Sigmoid,0.9459,65.89537405967712
395, 20, 50, 0.1,cross-entropy,one_hot,32,random,Sigmoid,Sigmoid,0.9389,42.17241096496582
396, 10, 100, 0.1,cross-entropy,one_hot,32,random,ReLu,Sigmoid,0.9418,32.12026524543762
397, 10, 50, 0.1,cross-entropy,one_hot,32,random,ReLu,Sigmoid,0.9308,18.787599086761475
398, 20, 100, 0.1,cross-entropy,one_hot,32,random,ReLu,Sigmoid,0.9553,47.23324179649353
399, 20, 50, 0.1,cross-entropy,one_hot,32,random,ReLu,Sigmoid,0.9436,48.0036199092865
400, 10, 100, 0.1,cross-entropy,one_hot,32,0,Sigmoid,Sigmoid,0.3666,29.18428611755371
401, 10, 50, 0.1,cross-entropy,one_hot,32,0,Sigmoid,Sigmoid,0.3586,16.735098838806152
402, 20, 100, 0.1,cross-entropy,one_hot,32,0,Sigmoid,Sigmoid,0.3576,86.06563901901245
403, 20, 50, 0.1,cross-entropy,one_hot,32,0,Sigmoid,Sigmoid,0.3696,35.904935359954834
404, 10, 100, 0.1,cross-entropy,one_hot,32,0,ReLu,Sigmoid,0.1135,23.691678285598755
405, 10, 50, 0.1,cross-entropy,one_hot,32,0,ReLu,Sigmoid,0.1028,16.693439960479736
406, 20, 100, 0.1,cross-entropy,one_hot,32,0,ReLu,Sigmoid,0.1135,42.123740911483765
407, 20, 50, 0.1,cross-entropy,one_hot,32,0,ReLu,Sigmoid,0.1135,30.052239894866943
408, 10, 100, 0.1,cross-entropy,binary,32,Xavier,Sigmoid,Sigmoid,0.9635,28.341124057769775
409, 10, 50, 0.1,cross-entropy,binary,32,Xavier,Sigmoid,Sigmoid,0.9568,17.0149667263031
410, 20, 100, 0.1,cross-entropy,binary,32,Xavier,Sigmoid,Sigmoid,0.9745,50.8531699180603
411, 20, 50, 0.1,cross-entropy,binary,32,Xavier,Sigmoid,Sigmoid,0.9653,36.087093114852905
412, 10, 100, 0.1,cross-entropy,binary,32,Xavier,ReLu,Sigmoid,0.9763,23.639618158340454
413, 10, 50, 0.1,cross-entropy,binary,32,Xavier,ReLu,Sigmoid,0.9714,15.789999008178711
414, 20, 100, 0.1,cross-entropy,binary,32,Xavier,ReLu,Sigmoid,0.9792,49.26137185096741
415, 20, 50, 0.1,cross-entropy,binary,32,Xavier,ReLu,Sigmoid,0.9731,32.16638994216919
416, 10, 100, 0.1,cross-entropy,binary,32,random,Sigmoid,Sigmoid,0.9326,31.574237823486328
417, 10, 50, 0.1,cross-entropy,binary,32,random,Sigmoid,Sigmoid,0.9184,18.147279024124146
418, 20, 100, 0.1,cross-entropy,binary,32,random,Sigmoid,Sigmoid,0.945,66.07805109024048
419, 20, 50, 0.1,cross-entropy,binary,32,random,Sigmoid,Sigmoid,0.9384,37.57194995880127
420, 10, 100, 0.1,cross-entropy,binary,32,random,ReLu,Sigmoid,0.9389,30.880111932754517
421, 10, 50, 0.1,cross-entropy,binary,32,random,ReLu,Sigmoid,0.9338,18.58208394050598
422, 20, 100, 0.1,cross-entropy,binary,32,random,ReLu,Sigmoid,0.954,45.798197984695435
423, 20, 50, 0.1,cross-entropy,binary,32,random,ReLu,Sigmoid,0.9486,32.56549787521362
424, 10, 100, 0.1,cross-entropy,binary,32,0,Sigmoid,Sigmoid,0.3541,27.792124032974243
425, 10, 50, 0.1,cross-entropy,binary,32,0,Sigmoid,Sigmoid,0.3643,21.385226011276245
426, 20, 100, 0.1,cross-entropy,binary,32,0,Sigmoid,Sigmoid,0.3689,55.06692624092102
427, 20, 50, 0.1,cross-entropy,binary,32,0,Sigmoid,Sigmoid,0.3603,31.531328916549683
428, 10, 100, 0.1,cross-entropy,binary,32,0,ReLu,Sigmoid,0.1135,28.540430068969727
429, 10, 50, 0.1,cross-entropy,binary,32,0,ReLu,Sigmoid,0.1135,23.820605039596558
430, 20, 100, 0.1,cross-entropy,binary,32,0,ReLu,Sigmoid,0.1028,74.9086902141571
431, 20, 50, 0.1,cross-entropy,binary,32,0,ReLu,Sigmoid,0.1135,43.31580591201782
432, 10, 100, 0.1,quadratic,one_hot,32,Xavier,Sigmoid,Sigmoid,0.9236,31.343286991119385
433, 10, 50, 0.1,quadratic,one_hot,32,Xavier,Sigmoid,Sigmoid,0.9238,22.04099726676941
434, 20, 100, 0.1,quadratic,one_hot,32,Xavier,Sigmoid,Sigmoid,0.9375,61.17752695083618
435, 20, 50, 0.1,quadratic,one_hot,32,Xavier,Sigmoid,Sigmoid,0.9369,47.90470790863037
436, 10, 100, 0.1,quadratic,one_hot,32,Xavier,ReLu,Sigmoid,0.9637,30.791347980499268
437, 10, 50, 0.1,quadratic,one_hot,32,Xavier,ReLu,Sigmoid,0.9545,22.14662504196167
438, 20, 100, 0.1,quadratic,one_hot,32,Xavier,ReLu,Sigmoid,0.9708,61.58413505554199
439, 20, 50, 0.1,quadratic,one_hot,32,Xavier,ReLu,Sigmoid,0.9668,47.507370948791504
440, 10, 100, 0.1,quadratic,one_hot,32,random,Sigmoid,Sigmoid,0.5571,40.546892166137695
441, 10, 50, 0.1,quadratic,one_hot,32,random,Sigmoid,Sigmoid,0.6744,20.710268020629883
442, 20, 100, 0.1,quadratic,one_hot,32,random,Sigmoid,Sigmoid,0.4662,53.8894567489624
443, 20, 50, 0.1,quadratic,one_hot,32,random,Sigmoid,Sigmoid,0.7252,36.34629583358765
444, 10, 100, 0.1,quadratic,one_hot,32,random,ReLu,Sigmoid,0.2682,23.377439975738525
445, 10, 50, 0.1,quadratic,one_hot,32,random,ReLu,Sigmoid,0.4228,16.35181975364685
446, 20, 100, 0.1,quadratic,one_hot,32,random,ReLu,Sigmoid,0.199,46.86833214759827
447, 20, 50, 0.1,quadratic,one_hot,32,random,ReLu,Sigmoid,0.2046,34.935490131378174
448, 10, 100, 0.1,quadratic,one_hot,32,0,Sigmoid,Sigmoid,0.1135,29.61025619506836
449, 10, 50, 0.1,quadratic,one_hot,32,0,Sigmoid,Sigmoid,0.2078,36.28401517868042
450, 20, 100, 0.1,quadratic,one_hot,32,0,Sigmoid,Sigmoid,0.2403,85.75716185569763
451, 20, 50, 0.1,quadratic,one_hot,32,0,Sigmoid,Sigmoid,0.3014,50.6051561832428
452, 10, 100, 0.1,quadratic,one_hot,32,0,ReLu,Sigmoid,0.1135,23.39206099510193
453, 10, 50, 0.1,quadratic,one_hot,32,0,ReLu,Sigmoid,0.1135,27.32242703437805
454, 20, 100, 0.1,quadratic,one_hot,32,0,ReLu,Sigmoid,0.1135,48.38353085517883
455, 20, 50, 0.1,quadratic,one_hot,32,0,ReLu,Sigmoid,0.1135,32.08633375167847
456, 10, 100, 0.1,quadratic,binary,32,Xavier,Sigmoid,Sigmoid,0.9222,26.62828803062439
457, 10, 50, 0.1,quadratic,binary,32,Xavier,Sigmoid,Sigmoid,0.9241,17.875834941864014
458, 20, 100, 0.1,quadratic,binary,32,Xavier,Sigmoid,Sigmoid,0.9372,50.96048593521118
459, 20, 50, 0.1,quadratic,binary,32,Xavier,Sigmoid,Sigmoid,0.9365,30.474887132644653
460, 10, 100, 0.1,quadratic,binary,32,Xavier,ReLu,Sigmoid,0.9619,23.719998836517334
461, 10, 50, 0.1,quadratic,binary,32,Xavier,ReLu,Sigmoid,0.9555,14.733638763427734
462, 20, 100, 0.1,quadratic,binary,32,Xavier,ReLu,Sigmoid,0.9715,39.61279010772705
463, 20, 50, 0.1,quadratic,binary,32,Xavier,ReLu,Sigmoid,0.9662,29.466209173202515
464, 10, 100, 0.1,quadratic,binary,32,random,Sigmoid,Sigmoid,0.6983,29.93890404701233
465, 10, 50, 0.1,quadratic,binary,32,random,Sigmoid,Sigmoid,0.5927,18.659628868103027
466, 20, 100, 0.1,quadratic,binary,32,random,Sigmoid,Sigmoid,0.5744,55.61095595359802
467, 20, 50, 0.1,quadratic,binary,32,random,Sigmoid,Sigmoid,0.6413,30.064898014068604
468, 10, 100, 0.1,quadratic,binary,32,random,ReLu,Sigmoid,0.3814,23.19434690475464
469, 10, 50, 0.1,quadratic,binary,32,random,ReLu,Sigmoid,0.1589,15.260966777801514
470, 20, 100, 0.1,quadratic,binary,32,random,ReLu,Sigmoid,0.3324,49.67239308357239
471, 20, 50, 0.1,quadratic,binary,32,random,ReLu,Sigmoid,0.3599,38.247133016586304
472, 10, 100, 0.1,quadratic,binary,32,0,Sigmoid,Sigmoid,0.1135,29.229721784591675
473, 10, 50, 0.1,quadratic,binary,32,0,Sigmoid,Sigmoid,0.21,19.77461814880371
474, 20, 100, 0.1,quadratic,binary,32,0,Sigmoid,Sigmoid,0.2477,52.27541494369507
475, 20, 50, 0.1,quadratic,binary,32,0,Sigmoid,Sigmoid,0.2909,37.73011898994446
476, 10, 100, 0.1,quadratic,binary,32,0,ReLu,Sigmoid,0.1135,21.598928213119507
477, 10, 50, 0.1,quadratic,binary,32,0,ReLu,Sigmoid,0.1135,15.35546088218689
478, 20, 100, 0.1,quadratic,binary,32,0,ReLu,Sigmoid,0.1135,43.47209191322327
479, 20, 50, 0.1,quadratic,binary,32,0,ReLu,Sigmoid,0.1135,30.65142512321472
480, 10, 100, 0.2,cross-entropy,one_hot,32,Xavier,Sigmoid,Sigmoid,0.9712,28.145853757858276
481, 10, 50, 0.2,cross-entropy,one_hot,32,Xavier,Sigmoid,Sigmoid,0.9647,21.28137183189392
482, 20, 100, 0.2,cross-entropy,one_hot,32,Xavier,Sigmoid,Sigmoid,0.978,66.82821393013
483, 20, 50, 0.2,cross-entropy,one_hot,32,Xavier,Sigmoid,Sigmoid,0.9693,33.547245264053345
484, 10, 100, 0.2,cross-entropy,one_hot,32,Xavier,ReLu,Sigmoid,0.9789,27.230560064315796
485, 10, 50, 0.2,cross-entropy,one_hot,32,Xavier,ReLu,Sigmoid,0.9727,15.180493116378784
486, 20, 100, 0.2,cross-entropy,one_hot,32,Xavier,ReLu,Sigmoid,0.9788,40.70644521713257
487, 20, 50, 0.2,cross-entropy,one_hot,32,Xavier,ReLu,Sigmoid,0.9718,30.355885982513428
488, 10, 100, 0.2,cross-entropy,one_hot,32,random,Sigmoid,Sigmoid,0.9451,31.98664116859436
489, 10, 50, 0.2,cross-entropy,one_hot,32,random,Sigmoid,Sigmoid,0.9385,20.066720962524414
490, 20, 100, 0.2,cross-entropy,one_hot,32,random,Sigmoid,Sigmoid,0.9523,55.04442000389099
491, 20, 50, 0.2,cross-entropy,one_hot,32,random,Sigmoid,Sigmoid,0.9476,40.26418590545654
492, 10, 100, 0.2,cross-entropy,one_hot,32,random,ReLu,Sigmoid,0.9482,21.165935039520264
493, 10, 50, 0.2,cross-entropy,one_hot,32,random,ReLu,Sigmoid,0.9402,17.91231083869934
494, 20, 100, 0.2,cross-entropy,one_hot,32,random,ReLu,Sigmoid,0.9569,46.8357150554657
495, 20, 50, 0.2,cross-entropy,one_hot,32,random,ReLu,Sigmoid,0.9508,30.13817811012268
496, 10, 100, 0.2,cross-entropy,one_hot,32,0,Sigmoid,Sigmoid,0.3571,25.098361015319824
497, 10, 50, 0.2,cross-entropy,one_hot,32,0,Sigmoid,Sigmoid,0.3687,16.34616494178772
498, 20, 100, 0.2,cross-entropy,one_hot,32,0,Sigmoid,Sigmoid,0.3647,49.49686002731323
499, 20, 50, 0.2,cross-entropy,one_hot,32,0,Sigmoid,Sigmoid,0.3584,41.65609908103943
500, 10, 100, 0.2,cross-entropy,one_hot,32,0,ReLu,Sigmoid,0.1135,184.8970878124237
501, 10, 50, 0.2,cross-entropy,one_hot,32,0,ReLu,Sigmoid,0.1135,17.446523189544678
502, 20, 100, 0.2,cross-entropy,one_hot,32,0,ReLu,Sigmoid,0.1135,58.190990924835205
